,Unnamed: 0,text,category,trans,translate
34,34,ಏನು ಮಾಡೋದು ಸರ್ ದೇಶ ಉದ್ದಾರ ಮಾಡುವಷ್ಟು ದುಡ್ಡನ್ನು ನಕಲಿ ಗಾಂಧಿಗಳು ಲೂಟಿ ಮಾಡಿದ್ದಾರೆ ಅದು ಅಲ್ದೇ ಒಬ್ಬ ವಿದೇಶಿ ಮಹಿಳೆ ಕೈಯಲ್ಲಿ ದೇಶ ಸಿಕ್ಕು ಬರಬಾರದ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಬಂದುಬಿಟ್ಟಿದೆ ಅವಳ ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್ 3 ಬಿಲಿಯನ್ ಇದೆ ಯಾರಪ್ಪನ ಮನೆ ದುಡ್ಡು ಅದು ಸ್ವಲ್ಪ ಅದರ ಬಗ್ಗೆ ಒಂದು ವಿಡಿಯೋ ಮಾಡಿ ಲೂಟಿಕೋರರ ನಕಲಿ ಗಾಂಧಿಗಳ ಬಗ್ಗೆ,Negative,ಏನು ಮಾಡೋದು ಸರ್ ದೇಶ ಉದ್ದಾರ ಮಾಡುವಷ್ಟು ದುಡ್ಡನ್ನು ನಕಲಿ ಗಾಂಧಿಗಳು ಲೂಟಿ ಮಾಡಿದ್ದಾರೆ ಅದು ಅಲ್ದೇ ಒಬ್ಬ ವಿದೇಶಿ ಮಹಿಳೆ ಕೈಯಲ್ಲಿ ದೇಶ ಸಿಕ್ಕು ಬರಬಾರದ ಪರಸ್ಥಿತಿಯಲ್ಲಿ ಬಂದುಬಿಟ್ಟಿದೆ ಅವಳ ಬ್ಯಾಂಕ್ ಬ್ಯಾಲೆನ್ಸ್ 3 ಬಿಲಿಯನ್ ಇದೆ ಯಾರಪ್ಪನ ಮನೆ ದುಡ್ಡು ಅದು ಸ್ವಲ್ಪ ಅದರ ಬಗ್ಗೆ ಒಂದು ವಿಡಿಯೋ ಮಾಡಿ ಲೂಟಿಕೋರರ ನಕಲಿ ಗಾಂಧಿಗಳ ಬಗ್ಗೆ,"What to do, sir, is fake Gandhis have looted so much of the hard work that the country cannot be found in the hands of a foreign woman who has a bank balance of 3 billion.
"
35,35,Game yavadu bro adu,Mixed feelings,ಗೇಮ್ ಯಾವದು ಬ್ರೋ ಅದು,"What game is this?
"
36,36,ಅದ್ಭುತವಾದ ಸಿನಿಮಾ. ನಾನು ಇತ್ತೀಚೆಗೆ ನೋಡಿದ ಎಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗಿಂತ ಇದು ಒಂದು ತೂಕ ಜಾಸ್ತಿ. ಭಾವನೆಗಳ ಭಂಡಾರವನ್ನು ತುಂಬಿ ಕೊಡುವ ಇಂತಹ ಚಿತ್ರಗಳು ಹಿಟ್ ಆಗದಿರುವುದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ವಿಪರ್ಯಾಸ. ನಿರ್ದೇಶಕರ ಕಲಾತ್ಮಕತೆ ಹಾಗೂ ಸೃಜನಶೀಲತೆಯನ್ನು ಹೊಗಳಲು ಪದಗಳೇ ಸಾಲವು.. ಇಂತ ಸದಭಿರುಚಿಯ ಚಿತ್ರಗಳೇ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಜೀವಾಳ. ಕಥೆ,Negative,ಅದ್ಭುತವಾದ ಸಿನಿಮಾ. ನಾನು ಇತ್ತೀಚೆಗೆ ನೋಡಿದ ಎಲ್ಲ ಕನ್ನಡ ಸಿನಿಮಾಗಳಿಗಿಂತ ಇದು ಒಂದು ತೂಕ ಜಾಸ್ತಿ. ಭಾವನೆಗಳ ಭಂಡಾರವನ್ನು ತುಂಬಿ ಕೊಡುವ ಇಂತಹ ಚಿತ್ರಗಳು ಹಿಟ್ ಆಗದಿರುವುದು ಕನ್ನಡ ಚಿತ್ರರಂಗದ ವಿಪರ್ಯಾಸ. ನಿರ್ದೇಶಕರ ಕಲಾತ್ಮಕತೆ ಹಾಗೂ ಸೃಜನಶೀಲತೆಯನ್ನು ಹೊಗಳಲು ಪದಗಳೇ ಸಾಲವು.. ಇಂತ ಸದಭಿರುಚಿಯ ಚಿತ್ರಗಳೇ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಜೀವಾಳ. ಕಥೆ,"This is the biggest movie I have ever watched in Kannada.
"
37,37,@Ajay Joshi Bhai kannada language me dekh mujhe konsi Kannada aati prr samaj aa gyii,not-Kannada,@ಅಜಯ್ ಜೋಷಿ ಭಾಯ್ ಕನ್ನಡ ಲ್ಯಾಂಗ್ವೇಜ್ ಮೇ ಡೆಕ್ ಮೊಹೆ ಕೊನ್ಸಿ ಕನ್ನಡ ಆತಿ ಪರ್ರಾ ಸಮಾಜ್ ಆ ನ್ಯೀ,"Ajay Joshi Bhai Kannada Language May Dek Mohe Konsi Kannada Aati Parra Samaj Aa New
"
38,38,Ajanesh lokanath,unknown state,ಅಜನೇಶ ಲೋಕನಾಥ್,"Ajaneesh Loknath
"
39,39,Bere singer ge ee song kettidre innu cholo keltittu,Negative,ಬೆರೆ ಸಿಂಗರ್ ಗೆ ಈ ಸಾಂಗ್ ಕೆಟ್ಟಿದ್ರೆ ಇನ್ನು ಚೊಲೋ ಕೇಳ್ತಿತ್ತು,"When the song was bad, I heard it for the first time
"
40,40,Lo gube don't compare anyone yellaru namma kannada super star,Negative,ಲೂ ಗೂಬೆ ಡಾನ್'ತ್ ಕಂಪೇರ್ ಆನ್ಯೋನ್ ಎಲ್ಲರೂ ನಮ್ಮ ಕನ್ನಡ ಸೂಪರ್ ಸ್ಟಾರ್,"Lu Goobe Don'ts Comper Anyon is our Kannada superstar
"
41,41,38 M,not-Kannada,38 ಎಮ್,"38 M
"
42,42,Yakebdre krishnana shapa aduke,Mixed feelings,ಯಾಕೆದ್ದ್ರೆ ಕೃಷ್ಣನ ಶಾಪ ಅಡಿಕೆ,"Why Krishna is cursed
"
43,43,ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ,Positive,ಬೇಡ ನೀವು ಒಳ್ಳೆಯ ಮನುಷ್ಯ,"You are not a good person.
"
44,44,Movie is promising,not-Kannada,ಮೂವಿ ಐಎಸ್ ಪ್ರಾಮಿಸಿಂಗ್,"Movie IS
"
45,45,Super song,not-Kannada,ಸೂಪರ್ ಸಾಂಗ್,"Superb song
"
46,46,ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ .....ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ...ಅಜನೀಶ್ ಲೋಕನಾಥ್............ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ........... ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ,Positive,ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ .....ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ...ಅಜನೀಶ್ ಲೋಕನಾಥ್............ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ........... ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ,"The sheray signature step...... the magical composition is again...... Ajaneesh Loknath...... the mass element has listened to this song again and again after a long time...... may he become an incarnation of history like the lyrics of the song.
"
47,47,Super music avane srimannarayana movie super it movie anoru like me,Positive,ಸೂಪರ್ ಮ್ಯೂಸಿಕ್ ಅವನೇ ಶ್ರಿಮಂನರಾಯನ ಮೂವಿ ಸೂಪರ್ ಐಟಿ ಮೂವಿ ಅನೂರು ಲೈಕ್ ಮೇ,"Super Music Avane Srimannarayanas Movie Super IT Movie Anu Like May
"
48,48,@Wild Rex कब तक हो सकती है रिलीज़,not-Kannada,@ವೈಲ್ಡ್ ರೆಕ್ಸ್ कब तक हो सकती है रिलीज़,"@ Wild Rex Kab Tak Ho Kai Hai released
"
49,49,Super danger #1,Mixed feelings,ಸೂಪರ್ ಡಂಗರ್ #1,"Super Over # 1
"
50,50,ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ.. ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಾರಾಯಣ,Positive,ನಿಜವಾಗಿಯೂ ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ.. ಹ್ಯಾಟ್ಸ್ ಆಫ್ ನಾರಾಯಣ,"It is indeed a creation of history.
"
51,51,Avane srimannarayana super songs hands up,not-Kannada,ಅವನೇ ಶ್ರಿಮಂನರಾಯನ ಸೂಪರ್ ಸಾಂಗ್ಸ್ ಹಂದ ಅಪ್,"Shrimannarayanas super songs
"
52,52,All d best from appu fans,Positive,ಆಲ ಡ್ ಬೆಸ್ಟ್ ಫ್ರಮ್ ಅಪ್ಪು ಫ್ಯಾನ್ಸ್,"All the Best from Appu Fans
"
53,53,Neev super marree...,unknown state,ನೀವ್ ಸೂಪರ್ ಮಾರಿ...,"You are a super salesman
"
54,54,Kodona bro adukkenu,Mixed feelings,ಕೊಡೋಣ ಬ್ರೋ ಅದುಕ್ಕೇನು,"Let's give it to you
"
55,55,Kshamisi sir nanu tumba miss madkonde,Positive,ಕ್ಷಮಿಸಿ ಸಾರ್ ನಾನು ತುಂಬ ಮಿಸ್ ಮಾಡ್ಕೊಂಡೆ,"Sorry sir, I missed you a lot.
"
56,56,Tiktok mado gaandu s.. maklu,Negative,ಟಿಕ್ಟಾಕ್ ಮಾಡೋ ಗಂಡು ಎಸ್.. ಮಕ್ಳು,"Tick-toting male
"
57,57,Togari. Tippa. Super,Positive,ತೊಗರಿ. ಟಿಪ್ಪ. ಸೂಪರ್,"Super... Super...
"
58,58,Olle kelsa Alva mem,Positive,ಒಳ್ಳೆ ಕೆಲ್ಸಾ ಆಳ್ವ ಮೆಂ,"The Good Kelsa ruling meme
"
59,59,Nija guru ..... Aa takattu nam industry Alli yargu Ella....,Positive,ನಿಜ ಗುರು ..... ಆ ತಾಕತ್ತು ನಾಮ್ ಇಂಡಸ್ಟ್ರಿ ಅಲ್ಲಿ ಯಾರ್ಗು ಎಲ್ಲಾ....,"The real guru who is there in the industry.
"
60,60,@VARAPRASAD K K super bro,not-Kannada,@ವರಪ್ರಸಾದ್ ಕಿ ಕಿ ಸೂಪರ್ ಬ್ರೋ,"@ Varaprasad Ki Superbro
"
61,61,SupernTelugu lo kuda,Positive,ಸುಪರ್ಟೆಲುಗು ಲೂ ಕೂಡಾ,"Supertelugu also
"
62,62,Rakshit shetty sir ge jai,Positive,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸಾರ್ ಗೆ ಜೈ,"Rakshit Shetty, actor
"
63,63,different but unique & epic song,not-Kannada,ಡಿಫ್ಯರೆಂಟ್ ಬೂತ್ ಯುನಿಕ್ & ಎಪಿಕ್ ಸಾಂಗ್,"Different Booth Unik & Epic Song
"
64,64,Even I had Same feelings..!,not-Kannada,ಇವನ್ ಈ ಹ್ಯಾಡ್ ಸಾಮೆ ಫೀಲಿಂಗ್ಸ್..!,"This is such a cool feeling!
"
65,65,First time movie nodoru taleli uoohe screenply ittukondu nodbedi freedomagi nodi movie superagide kanndada hosatana adduriyagi kanutte guru movi superrrrrr,Positive,ಫಸ್ಟ್ ಟೈಮ್ ಮೂವಿ ನೋಡೋರು ತಲೆಲಿ ನೋಹ್ ಸೆರ್ನೆನ್ಪಿ ಇಟ್ಟುಕೊಂಡು ನೊಡ್ಬೇಡಿ ಫ್ರೀಡೋಮಾಗಿ ನೋಡಿ ಮೂವಿ ಸುಪೆರಾಗಿದೆ ಕನ್ನದ ಹೊಸತನ ಅದ್ದುರಿಯಾಗಿ ಕಾಣುತ್ತೆ ಗುರು ಮೂವಿ ಸೂಪರ್ರರ್,"For the first time, watch a movie with Noah Sernenpie in the head.
"
66,66,Super................ Song,not-Kannada,ಸೂಪರ್................ ಸಾಂಗ್,"Super song
"
67,67,Good job..  Goahead mahn,not-Kannada,ಗುಡ್ ಜಾಬ್.. ಗೌಹದ್ ಮ್ಯಾನ್,"Good job, Gauhad Man.
"
68,68,En song guruve I love this song K G F bitre ede super movie guru.......super,Positive,ಏನ್ ಸಾಂಗ್ ಗುರುವೆ ಈ ಲವ್ ದಿಸ್ ಸಾಂಗ್ ಕಿ ಜಿಎ ಫ್ ಬಿಟರ್ ಎದೆ ಸೂಪರ್ ಮೂವಿ ಗುರು.......ಸೂಪರ್,"En song Gurave Ei Love this song Ki Ga f Bitter Chest Super Movie Guru
"
69,69,Nimage aa devaru olledu madali Appaji...nNimma matugalu keli nange 100% Dairya bantu appaji thank you for your inspiration,Positive,ನಿಮಗೆ ಆ ದೇವರು ಒಳ್ಳೆದು ಮಾಡಲಿ ಅಪ್ಪಾಜಿ...ನ್ಯಿಮ್ಮ ಮಾತುಗಳು ಕೇಳಿ ನಂಗೆ 100% ದೈರ್ಯ ಬಂತು ಅಪ್ಪಾಜಿ ಥ್ಯಾಂಕ್ ಯುಎ ಫೋರ್ ಯುವರ್ ಇನ್ಸ್ಪಿರೇಷನ್,"God bless you Papa, I got 100 percent courage listening to your words Papa, thank you for your inspiration.
"
70,70,U missed birbal,not-Kannada,ಊ ಮಿಸೆಸ್ ಬಬ್ಬಲ್,"Mrs Bubble
"
71,71,Hudgirge estu huchu edso song adre.   Enaa hudugara kathe henge.,Mixed feelings,ಹುದ್ಗಿರ್ಗೆ ಎಷ್ಟು ಹಚ್ಚು ಎಸ್ಟೋ ಸಾಂಗ್ ಅದ್ರೆ. ಏನಾ ಹುಡುಗರ ಕತೆ ಹೆಂಗೆ.,"How many songs do you like to sing?
"
72,72,ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? With income proof. WhatsApp 6362806874,unknown state,ಮನೆಯಿಂದಲೇ ಸಂಪಾದಿಸಬೇಕೇ? ವಿಥ್ ಇನ್ಸೋಮ್ ಪ್ರೂಫ್. ಭಾಟ್ಪಪ್ಪ್ 6362806874,"Should you edit it at home? With Insom Proof. Bhatpp 6362806874
"
73,73,Superb new avatar,not-Kannada,ಸುಪರ್ಬ್ ನ್ಯೂ ಅವತಾರ್,"Super New Avatar
"
74,74,Nija nivu mahabaratha nodilva,Mixed feelings,ನಿಜ ನೀವು ಮಹಾಬಾರತ ನೋಡಿಲ್ಲ,"The truth is you havent seen it.
"
75,75,GAVISH SANGATI ćqqqq1,not-Kannada,ಗವಿ ಸಂಗತಿ ćಕಿಕ್1,"Gavie factor Kik1
"
76,76,Na gentleman tiktok banu  super guru,Positive,ನಾ ಗೆಂಟ್ಲೆಮನ್ ಟಿಕ್ಟಾಕ್ ಬಾನು ಸೂಪರ್ ಗುರು,"I'm Gentleman Tik Tok Banu Super Guru.
"
77,77,jai sri ram,unknown state,ಜೈ ಶ್ರೀ ರಮ್,"Jai Shri Ram
"
78,78,Hi Chi ugh,unknown state,ಹಾಯ್ ಛಿ ುಲ್,"Hi there.
"
79,79,nivu helidu sari nanu follow madthini🤗,Positive,ನೀವು ಹೇಳಿದು ಸಾರಿ ನಾನು ಫೋಲೋ ಮದ್ತಿನಿ🤗,"I will follow what you say.
"
80,80,Sir.. 5paisa.com adara bagge video madi... Open madodhu hege and close madodhu hege antha... Plz sir,Positive,ಸಾರ್.. 5ಪೈಸ್.ಕಾಮ್ ಅದರ ಬಗ್ಗೆ ವೀಡಿಯೋ ಮಾಡಿ... ಓಪನ್ ಮಾಡೊದು ಹೇಗೆ ಆಂಡ್ ಕ್ಲೋಸ್ ಮಾಡೊದು ಹೇಗೆ ಅಂಥ... ಪಿಜಿ ಸಾರ್,"Sir... 5paise.com video on how to open and close... PG sir
"
81,81,Entha song na dislike madtiralla loafer nan makkala thu nim janumakke,Negative,ಇಂಥ ಸಾಂಗ್ ನಾ ದಿಸ್ಲಿಕೆ ಮದ್ತಿರಲ್ಲ ಲಾಫರ್ ನಾನ್ ಮಕ್ಕಳ ಥೂ ನಿಮ್ ಜನುಮಕ್ಕೆ,"This is not that kind of song.
"
